text,sentiment,labels
Excellent worker. did a quality job and always punctual.,positive,high_quality|punctual
Too expensive. Also response time could be faster.,negative,overpriced|slow_response
Would not recommend. quite rude when I asked questions.,negative,rude
Avoid this worker. took days to answer my messages.,negative,slow_response
"Great experience. didn't overcharge me at all, honest guy, plus came even a few minutes early.",positive,price_fair|punctual
Way too expensive for what he did.,negative,overpriced
Very disappointed. his prices are absurdly high.,negative,overpriced
"Would not recommend. took days to answer my messages, plus way too expensive for what he did.",negative,overpriced|slow_response
"Not happy at all. bad quality, plus came very late and such a rude person.",negative,late|poor_quality|rude
"Very disappointed. had to chase him constantly for updates, plus the installation was done wrong. Also arrived late without any excuse.",negative,late|poor_quality|slow_response
Avoid this worker. added hidden costs at the end. Also missed the appointment completely.,negative,late|overpriced
Really happy with this. courteous and professional in every way and showed up right when he said he would.,positive,friendly|punctual
Great experience. best price I could find for this job.,positive,price_fair
Very satisfied. super friendly. On top of that everything was installed properly and works great.,positive,friendly|high_quality
"Would not recommend. hours late. On top of that sloppy job, it broke again after a week — final bill was double the estimate.",negative,late|overpriced|poor_quality
Would hire again. responds fast.,positive,fast_response
Not happy at all. demanded extra money for no reason. On top of that arrived late without any excuse.,negative,late|overpriced
Would hire again. explained everything patiently and nicely and replied to my request within minutes.,positive,fast_response|friendly
"Great experience. friendly, honest and easy to talk to and everything was installed properly and works great.",positive,friendly|high_quality
The quality of the work is excellent.,positive,high_quality
"Really happy with this. quality is top, but so rude to me.",mixed,high_quality|rude
"Not happy at all. always late, wasted my whole day — had a bad attitude and ignored my calls for a week.",negative,late|rude|slow_response
"Highly recommend. transparent pricing from the start and amazing work, really well done.",positive,high_quality|price_fair
He was very rude.,negative,rude
Bad experience. rude and unprofessional behavior — the job took twice as long as promised.,negative,late|rude
Would not recommend. communication was painfully slow.,negative,slow_response
"Very satisfied. made me feel comfortable, very nice guy, plus he was punctual and ready to work.",positive,friendly|punctual
Very disappointed. the bill was huge and he was late.,negative,late|overpriced
"Excellent worker. right on time and didn't overcharge me at all, honest guy.",positive,price_fair|punctual
Great experience. transparent pricing from the start.,positive,price_fair
Excellent worker. replied to my request within minutes.,positive,fast_response
Bad experience. such a rude person. On top of that waited forever just to get a quote.,negative,rude|slow_response
Very satisfied. finished the job within the promised time.,positive,punctual
Not happy at all. kept me waiting all morning.,negative,late
Not happy at all. charged much more than the original quote and unfriendly attitude the whole time.,negative,overpriced|rude
Very satisfied. super fast communication throughout.,positive,fast_response
Very satisfied. excellent quality.,positive,high_quality
Really happy with this. always on time on both days.,positive,punctual
Bad experience. not worth the money at all. On top of that such a rude person. On top of that took long to get back to me.,negative,overpriced|rude|slow_response
Avoid this worker. came very late.,negative,late
Not happy at all. showed up two hours late.,negative,late
Super friendly — replied to my request within minutes — fair price for good work.,positive,fast_response|friendly|price_fair
Too expensive.,negative,overpriced
Got rude with me. Also postponed twice and then came late anyway.,negative,late|rude
Really happy with this. finished the job within the promised time.,positive,punctual
Highly recommend. was there at 8 sharp as agreed.,positive,punctual
Would hire again. fair quote and stuck to it — responded quickly and scheduled the visit fast.,positive,fast_response|price_fair
Excellent worker. super friendly.,positive,friendly
Great experience. instant reply when I contacted him. On top of that finished the job within the promised time.,positive,fast_response|punctual
Very satisfied. on time.,positive,punctual
"Would not recommend. added hidden costs at the end, plus was really rude on the phone.",negative,overpriced|rude
Avoid this worker. way too expensive for what he did.,negative,overpriced
Really happy with this. the quality of the work is excellent.,positive,high_quality
"Would hire again. courteous and professional in every way, plus transparent pricing from the start.",positive,friendly|price_fair
The price was very fair. Sadly he was late.,mixed,late|price_fair
"Highly recommend. pleasant to deal with, great attitude.",positive,friendly
Excellent quality. On top of that quick response.,positive,fast_response|high_quality
"Very satisfied. excellent quality — always punctual. On top of that made me feel comfortable, very nice guy.",positive,friendly|high_quality|punctual
Would hire again. showed up right when he said he would. Also the cost was lower than I expected.,positive,price_fair|punctual
Excellent worker. good quality and durable. Also fair price for good work.,positive,high_quality|price_fair
"Highly recommend. pleasant to deal with, great attitude. Also same day service, incredibly fast.",positive,fast_response|friendly
Not happy at all. arrived late without any excuse. On top of that stopped responding after the first visit. Also way too expensive for what he did.,negative,late|overpriced|slow_response
Really happy with this. came even a few minutes early.,positive,punctual
Avoid this worker. the work quality was terrible.,negative,poor_quality
"Very satisfied. the work quality is really good, plus finished the job within the promised time, plus fair price for good work.",positive,high_quality|price_fair|punctual
"Not happy at all. had to hire someone else to fix his mistakes — disrespectful towards me and my home, plus had to chase him constantly for updates.",negative,poor_quality|rude|slow_response
"The price is right. However sloppy job, it broke again after a week.",mixed,poor_quality|price_fair
"Clean and precise work, real craftsmanship. On top of that super fast communication throughout.",positive,fast_response|high_quality
"Excellent worker. affordable and honest pricing. Also super fast communication throughout, plus courteous and professional in every way.",positive,fast_response|friendly|price_fair
"Would not recommend. bad work, plus was arrogant and talked down to me.",negative,poor_quality|rude
Excellent worker. great quality work. On top of that came even a few minutes early.,positive,high_quality|punctual
